epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
0,1.5010306652688654,0.5417703795892969,1.416160556742854,0.5605232398239824,0.5605232398239824
1,1.0568627348284434,0.6729603395301804,1.2566803473450563,0.6122112211221122,0.6122112211221122
2,0.9548156620481404,0.6998738429527069,1.1759425446276355,0.6391639163916392,0.6391639163916392
3,0.901560319159887,0.7143442264312383,1.1277755108078977,0.6535512926292629,0.6535512926292629
4,0.867143975516321,0.7235580662725576,1.0891483140857305,0.6622060643564357,0.6622060643564357
5,0.8423422649178212,0.7302195959085253,1.070353192005745,0.6687981298129813,0.6687981298129813
6,0.8233003996141074,0.735822524502178,1.0425694071420348,0.6756738173817382,0.6756738173817382
7,0.8081564075025477,0.740268405802738,1.0324026500955799,0.6771606848184818,0.6771606848184818
8,0.795651686436357,0.7435256397790915,1.0163345934271943,0.6826010726072608,0.6826010726072608
9,0.7851048224300202,0.7465227811916615,1.0083783306960095,0.6825409103410341,0.6826010726072608
10,0.7759721772820593,0.7491577376322339,0.9877969912110907,0.6883336771177118,0.6883336771177118
11,0.7680812162424216,0.7514694014467953,0.9901634745865372,0.6888321644664467,0.6888321644664467
12,0.7611313530504147,0.7533532494555072,0.9786582121623494,0.691161303630363,0.691161303630363
13,0.7549565996378939,0.7551714666303672,0.972782321495585,0.6937310918591859,0.6937310918591859
14,0.7494733211559469,0.756819529791537,0.9698064803946005,0.695630500550055,0.695630500550055
15,0.7444414020178106,0.7581686080429372,0.9666492270820081,0.6948827695269527,0.695630500550055
16,0.7398855520392621,0.7595334863098943,0.9613525637961325,0.6978479097909791,0.6978479097909791
17,0.7357602076049762,0.7608205798848786,0.9484397072275349,0.7005036441144115,0.7005036441144115
18,0.7318319453537353,0.7620663503422527,0.954884923527343,0.6988964521452146,0.7005036441144115
19,0.7283673274568986,0.7629839666303672,0.9479288548001624,0.701371699669967,0.701371699669967
20,0.7249381784036728,0.7642503986465463,0.9306273738739907,0.7057807343234324,0.7057807343234324
21,0.7218021293493555,0.7649443839452396,0.9445153833484755,0.702789810231023,0.7057807343234324
22,0.7189511499867798,0.7659337079962664,0.9291893456897589,0.7074223047304731,0.7074223047304731
23,0.7162169772939201,0.7665705701617922,0.9313612918649176,0.7061417079207921,0.7074223047304731
24,0.7136323697164924,0.7672767093186061,0.926519162256201,0.7065628437843784,0.7074223047304731
25,0.7113207810475505,0.7681056024424393,0.9198853523686643,0.7091068481848185,0.7091068481848185
26,0.7089886171297027,0.7686160644835096,0.913396511665403,0.7091498212321232,0.7091498212321232
27,0.7068368083361001,0.7694546806938395,0.9257376271702669,0.7084794416941694,0.7091498212321232
28,0.7047267037663463,0.7698922195861855,0.906073120265904,0.7134299367436744,0.7134299367436744
29,0.7028291187971811,0.7705205740510268,0.9248033014789011,0.7094248487348734,0.7134299367436744
30,0.7008977250868887,0.7710954515401369,0.9162101143329713,0.711255500550055,0.7134299367436744
31,0.6992086001116071,0.7717055752177971,0.9171461339699816,0.7110062568756875,0.7134299367436744
32,0.697380356856882,0.7722123911014313,0.9107995201783343,0.7130775577557755,0.7134299367436744
33,0.6956428694443147,0.7726681607809583,0.9170818127880265,0.7121665291529153,0.7134299367436744
34,0.6942512884448608,0.7729622841474798,0.9013668267574771,0.7157075082508251,0.7157075082508251
35,0.6926840163567975,0.7734071153546982,0.9040794559109985,0.7149425880088008,0.7157075082508251
36,0.6911890259720779,0.7738641004200373,0.9128134521779709,0.713318206820682,0.7157075082508251
37,0.6899013404677058,0.7742943469975109,0.9112616974462902,0.7140745324532454,0.7157075082508251
38,0.6886210949731006,0.7747829320939639,0.8980129054932967,0.7170310781078107,0.7170310781078107
39,0.687283948592392,0.7751341785936527,0.902771617254146,0.7164380500550055,0.7170310781078107
40,0.6860257930909912,0.7755984559738643,0.8976457738968143,0.7158020489548955,0.7170310781078107
41,0.6847997730239698,0.7761721180771625,0.9082987338993023,0.7147792904290429,0.7170310781078107
42,0.6836564541233944,0.7763811644368388,0.8927181627359589,0.7178561606160616,0.7178561606160616
43,0.6826319557283707,0.7766278877566895,0.8902303791216629,0.7187070269526953,0.7187070269526953
44,0.6814811615077472,0.7769706265556938,0.8892833351170925,0.7195063256325632,0.7195063256325632
45,0.6806298871179804,0.7774361193217175,0.8901412319822279,0.7178303767876788,0.7195063256325632
46,0.679554160923118,0.7774482731798382,0.9085510826543612,0.7140573432343235,0.7195063256325632
47,0.6785696153694157,0.777730242688239,0.8956410338317338,0.7190937843784379,0.7195063256325632
48,0.6775694554758577,0.778068119943995,0.8985360702141152,0.7161802117711771,0.7195063256325632
49,0.6766679901177645,0.7784497510889857,0.8911217125204399,0.7195149202420242,0.7195149202420242
