epoch,train_loss,val_loss,train_acc,val_acc
0,1.4524521272821906,1.4038539697365924,0.5614802913036714,0.5646228685368537
1,1.046862623338456,1.2430245608779855,0.6752865879744866,0.6197916666666666
2,0.9489828518034882,1.166360191910705,0.7013262289981331,0.6404788916391639
3,0.897201383047098,1.1108721155669168,0.7151536733820784,0.6571782178217822
4,0.8636020995402974,1.0738608260752738,0.7246032980709396,0.665016501650165
5,0.8392927126997216,1.0570878947790965,0.7311882584007467,0.6707233223322332
6,0.8205766438992779,1.035633069125995,0.7367206946172993,0.676026196369637
7,0.8057959501092005,1.025908448252872,0.7405467291537026,0.6791546342134214
8,0.7935186604498037,1.0100828253790095,0.7441199634411948,0.6820338283828383
9,0.783079670502224,1.0156468002185046,0.7470624124922215,0.6819135038503851
10,0.7742052251831225,1.000000716895029,0.7498018921126323,0.6854716721672167
11,0.7665743735464152,0.976599436913124,0.7518230787181083,0.6917027640264026
12,0.7597590071782608,0.9639825028489264,0.7536145574051026,0.6978135313531353
13,0.7536851711798397,0.9728315430636978,0.7555032669570628,0.6940576870187019
14,0.7482669426182745,0.9539182441200492,0.7570686838830119,0.6986386138613861
15,0.7433616653984203,0.9556532216937628,0.7584165467485999,0.6968595297029703
16,0.7388126449549354,0.9478461245367892,0.7596720402924705,0.6998074807480749
17,0.734749885063848,0.9507999618520306,0.7611061955507156,0.7006927255225522
18,0.7310267534772283,0.9433290108923602,0.7620979503733665,0.7025405665566556
19,0.7274182866134478,0.9362486661201788,0.7631127975264468,0.7038039741474147
20,0.7241962076568722,0.9427866779997272,0.7641154908214064,0.7030046754675467
21,0.7211119208413025,0.9303702831399454,0.765153430304916,0.7044915429042904
22,0.7181965258823245,0.9264362559329034,0.7660321542470442,0.70757700770077
23,0.7156960836982015,0.9343440954965858,0.766634985609832,0.7060987348734874
24,0.7129774796866303,0.9242351578079304,0.7673678632545116,0.7066487898789879
25,0.7107683383832456,0.9273884933118116,0.7680849408836341,0.7080840896589659
26,0.7084294015306379,0.9234000026392858,0.7687643415525824,0.7099920929592959
27,0.7062277084340497,0.9190052949687172,0.7694255114343497,0.7099147414741475
28,0.7041945288696123,0.9148108053653284,0.7699675735065339,0.7116594471947195
29,0.7022440558497626,0.9149100520167543,0.7707478511978842,0.7112984735973598
30,0.700387404991665,0.9199588091919,0.7713057132856254,0.7097170654565457
31,0.6987320180998579,0.9018636671098808,0.7716994982887367,0.7134299367436744
32,0.6968540953937049,0.9081886669065562,0.7723193450528936,0.7146245874587459
33,0.6953348241092703,0.913386667686196,0.7726754530958307,0.712054799229923
34,0.6937772622743451,0.9023443248340136,0.7731968536092098,0.7149425880088008
35,0.6923622254191828,0.9133189563179436,0.7737607926260112,0.7098459845984598
36,0.6908559836655874,0.9135759348588676,0.7740451929060361,0.7124415566556656
37,0.6894902195259882,0.9093943231701196,0.7744547779247044,0.7139542079207921
38,0.6881854939549772,0.894380509853363,0.774953086107654,0.7173490786578658
39,0.6869703607301053,0.8973811084222216,0.7752666556471687,0.7157676705170517
40,0.6856038536280672,0.9033812921170484,0.7758439639079029,0.7152605885588559
41,0.6844413826832062,0.9007796798274332,0.7761283641879279,0.7174522139713971
42,0.6832387325329,0.8899989004182344,0.7765768415525824,0.7199618399339934
43,0.6822433440894463,0.8923699576797003,0.7766679954884879,0.7175123762376238
44,0.6811226217288294,0.9023086299793948,0.7769767034847542,0.7160770764576457
45,0.6801149769458403,0.8967587197049879,0.7774057346764157,0.7164294554455446
46,0.6791123097626853,0.894316696392821,0.7777436119321718,0.7180968096809681
47,0.6781584937971574,0.8863284705561248,0.7779708890790292,0.7205548679867987
48,0.6772950054253565,0.8926686016705432,0.778286889390168,0.7200220022002201
49,0.6764667219231421,0.8914749078427998,0.7784789203484754,0.7177186468646864
50,0.6755487895115756,0.8881811545823667,0.7786916128655881,0.7208642739273927
51,0.6747214448103344,0.8836348035154563,0.7790659516957062,0.7221964383938394
52,0.6738914478693085,0.8934635834725383,0.7791242902146858,0.7189648652365237
53,0.6730878301562919,0.9018995559254888,0.7796809369166148,0.716996699669967
54,0.6723056185594166,0.8997789085960494,0.7798121985843186,0.7170568619361937
55,0.671642142011278,0.8930292637697016,0.7799009217485999,0.7193430280528053
56,0.6708755061800018,0.8839204780536123,0.7801768143279403,0.7203743811881188
57,0.6701237537064164,0.8903529187305794,0.7803554760423149,0.7187328107810781
58,0.6693024167602079,0.8875855585463894,0.7806374455507156,0.7226347634763476
59,0.6687123781787585,0.8811275349854112,0.7807869380056005,0.7236661166116611
60,0.6679892678326083,0.8753107882896797,0.7810044920659615,0.7236747112211221
61,0.6674905675275028,0.8765466091590877,0.7813107692906036,0.7238208195819582
62,0.6670191221231249,0.8869356926780592,0.7813277846919726,0.7197899477447744
63,0.6661999544224979,0.8743440620314301,0.7815963849564406,0.7231160616061606
64,0.6656185220915409,0.8888345945655185,0.7817033389079029,0.7220675192519251
65,0.665138551108794,0.88063757447782,0.7820606623366522,0.7211994636963697
66,0.6645971389757452,0.8699281339926033,0.781956139156814,0.7242849284928493
67,0.6639296397631704,0.8692511590597259,0.7822125855631612,0.7252647139713971
68,0.6633468838530293,0.8721034529447818,0.7822405394368388,0.7241044416941694
69,0.6628953214009208,0.8787414898442225,0.7825905705507156,0.723528602860286
70,0.6624016557410406,0.8794132611407961,0.7827242629900436,0.7221620599559956
71,0.6618586606169311,0.8794818616280592,0.7829126477909147,0.723227791529153
72,0.6613352661853854,0.8830431387959534,0.7830426940728065,0.7208470847084708
73,0.6608396212952287,0.8809120638994756,0.7833514020690728,0.7229527640264026
74,0.6605484578723706,0.8704203467557926,0.7833100789514623,0.7259350935093509
75,0.6598922108075748,0.8727499004309983,0.7834000175015557,0.7254280115511551
76,0.6593720724883848,0.8753951367634226,0.7834972483665215,0.7252647139713971
77,0.6589426084490541,0.8866836144061241,0.783691710096453,0.7224370874587459
78,0.6586064999713316,0.87859865603405,0.7838691564250155,0.7239841171617162
79,0.6582336027798774,0.8704265399013285,0.7840818489421282,0.7265023377337734
80,0.6577470389002958,0.8690214431194058,0.7841049412725576,0.726253094059406
81,0.6573395136727557,0.8698421362275206,0.7842945414592408,0.7253248762376238
82,0.6569812742908623,0.8740304098336479,0.7843176337896702,0.7255053630363036
83,0.656655514952405,0.8705782341812834,0.784464695472931,0.7237950357535754
84,0.6562052696998919,0.8736635212785471,0.7846956187772246,0.726081201870187
85,0.6558322605318213,0.8693149085551074,0.7848827881922837,0.7262359048404841
86,0.6554480014414096,0.8633009115986042,0.7849581421126323,0.7280665566556656
87,0.6552738204236793,0.8654123669934876,0.7850796806938395,0.7271211496149615
88,0.6547514926816042,0.8655512704051892,0.7849885267579341,0.7258577420242024
89,0.6544418530428565,0.8589932584788802,0.7852255269912881,0.7266312568756875
90,0.6542897521151322,0.8654706730241953,0.7851076345675171,0.7268461221122112
91,0.6537499498638516,0.8687491233002628,0.7853349117143746,0.7256256875687569
92,0.6533811199197728,0.8694514739106853,0.7853507117299315,0.7268117436743674
93,0.6532977946292708,0.8681665036347833,0.7855062811138768,0.7246029290429042
94,0.6528091986652629,0.8655168414443765,0.7857882506222775,0.7267945544554455
95,0.6524329501868926,0.8708853288517796,0.7858660353142501,0.7254366061606161
96,0.6522490833958411,0.87218287042921,0.785712896701929,0.7238294141914191
97,0.6519142511325663,0.8699400508889008,0.7859110045892969,0.7261757425742574
98,0.6517100138328946,0.8667406317490031,0.7861710971530803,0.7268890951595159
99,0.6514282468393418,0.862144726108272,0.7861613740665837,0.7280923404840484
100,0.6510804120472076,0.8587554924690028,0.7862780511045426,0.7297682893289329
101,0.6508013724390587,0.8627819693652448,0.7863801435127566,0.7273961771177118
102,0.6505228622625834,0.8682561003991348,0.7862902049626633,0.7268633113311331
103,0.6502284545221905,0.8699802380583861,0.786419035858743,0.7273360148514851
104,0.6499071674237136,0.868304236657811,0.7864992513223398,0.7274821232123212
105,0.6497699269687602,0.8690970469229292,0.786402020457374,0.7262874724972497
106,0.6494764030610246,0.8639196385972702,0.7864676512912259,0.7273961771177118
107,0.6492890350627246,0.8688629035181207,0.7866912822806472,0.7256514713971397
108,0.6491136910311539,0.8499497113579308,0.7867022207529558,0.7308340209020903
109,0.6488895955928453,0.8748338467741694,0.7868711593808339,0.726880500550055
110,0.6485220243193455,0.8685949207401381,0.7868504978220286,0.7272930418041804
111,0.6483453356040214,0.8526380041776055,0.7868833132389546,0.730541804180418
112,0.6480430977716903,0.8575704333477944,0.7869939133478532,0.7292010451045104
113,0.6479876223527354,0.8545874813602309,0.7870534672526447,0.7296135863586358
114,0.6475500574227662,0.8562183573891228,0.7873014059583074,0.7284876925192519
115,0.6473485542589934,0.8716908072349918,0.7873014059583074,0.7269922304730473
116,0.6473647991766749,0.8635340497897666,0.7874727753578096,0.7282212596259626
117,0.646922804401317,0.8650887278374797,0.7875493446639701,0.726871905940594
118,0.646780452338078,0.8685828953555184,0.7875590677504667,0.7249123349834984
119,0.6465695064929827,0.8620014827374709,0.7876295601275669,0.7290119636963697
120,0.6464368998818911,0.8720091060377715,0.7875274677193528,0.7249982810781078
121,0.6461901000811583,0.8672034996177497,0.7875967447106409,0.7259952557755776
122,0.6459938877476026,0.8638195957090988,0.7876769601742377,0.7266054730473047
123,0.6458283491437303,0.8495946026871307,0.7877450217797137,0.7335413228822882
124,0.6456076180111494,0.8564347308723316,0.787799714141257,0.7290635313531353
125,0.6454054162824235,0.8553021960329301,0.7878580526602365,0.7299831545654566
126,0.6452360329749648,0.8722068097266165,0.7880841144212819,0.7270781765676567
127,0.6452434473551054,0.8625978287821687,0.788136376011201,0.7296049917491749
128,0.6448801778901343,0.8559966815186806,0.7880196989732421,0.7289603960396039
129,0.6448306391976528,0.8586797385719349,0.7880986990510268,0.7297425055005501
130,0.6446845515143745,0.8642366436710714,0.7882676376789048,0.7271125550055005
131,0.6444204336898106,0.8641897151769191,0.7880731759489732,0.7284189356435643
132,0.644245340353818,0.8623147932412994,0.7882968069383945,0.7280321782178217
133,0.6441625756140296,0.8525132082804333,0.7883502839141256,0.7304214796479648
134,0.6440258096966153,0.8594564853525004,0.7884098378189173,0.7300519114411441
135,0.6437292235492548,0.8620314634475771,0.7882311761045426,0.7281782865786579
136,0.6436584704621059,0.8557831695174226,0.7884280686060983,0.7294502887788779
137,0.6435165953102064,0.8607578515285181,0.7884645301804605,0.7298198569856986
138,0.6433331662627875,0.8518627550211152,0.7886808688550093,0.7318653740374037
139,0.6431491769613801,0.8617584873544107,0.7886687149968886,0.7296823432343235
140,0.6430109643609759,0.8638159330725277,0.7887173304293715,0.7292010451045104
141,0.6429219006676071,0.8698805558143801,0.7887853920348475,0.7265281215621562
142,0.6426793846122656,0.8553034116988397,0.7887695920192906,0.7300089383938394
143,0.6427616786348501,0.8609782385878568,0.788774453562539,0.7291236936193619
144,0.6424319809389619,0.849702828165197,0.7889324537181083,0.7315473734873488
145,0.6422696905471408,0.8529081981305373,0.7888911306004979,0.7308254262926293
146,0.6420775510616457,0.8565611645202301,0.7890649307716241,0.7276883938393839
147,0.6418850925967199,0.858622544767833,0.7889117921593031,0.7300089383938394
148,0.6419263867836378,0.852919603535051,0.7891585154791537,0.7315645627062707
149,0.6417698008196652,0.8513351237223094,0.7891244846764157,0.7299315869086909
150,0.6416209906098557,0.8601448181176474,0.7891232692906036,0.729596397139714
151,0.6415506676256694,0.8603611043249683,0.7891889001244555,0.7285650440044005
152,0.6413349456941406,0.8508825472938214,0.7891269154480398,0.7301120737073707
153,0.6412221452206206,0.8514946851268722,0.789314084863099,0.7317364548954896
154,0.6411485156066387,0.8647543282070831,0.789382146468575,0.7286080170517052
155,0.6409627118315397,0.8596640616425849,0.7894818081051649,0.7289861798679867
156,0.6410765107848589,0.8544654823569181,0.7890430538270068,0.7304988311331133
157,0.6408885386172629,0.8572666142443226,0.7892764079029247,0.730541804180418
158,0.6406339341316746,0.8604830322813805,0.789399161869944,0.7293385588558856
159,0.6405972126632576,0.8574887990164678,0.7894003772557561,0.7302839658965896
160,0.6404503326128193,0.8635226813676727,0.7893712079962664,0.7293729372937293
161,0.6403788860050431,0.8536137077871329,0.7894733004044804,0.7311176430143014
162,0.6401947652544379,0.8593419150944197,0.7895620235687617,0.7304300742574258
163,0.640236554490014,0.8514676890750923,0.7893323156502801,0.731023102310231
164,0.6399768400652185,0.8553305660078365,0.7897224544959552,0.7303785066006601
165,0.6399839704423939,0.8612461268770681,0.7897151621810827,0.7285564493949395
166,0.639886015642483,0.858727013481201,0.7895741774268824,0.727043798129813
167,0.6397828851416754,0.8519265497281606,0.7897212391101431,0.7301722359735974
168,0.6396384846370414,0.8592384152024231,0.7897419006689483,0.7291408828382838
169,0.6396507035892204,0.8611086790252178,0.7899084085252023,0.7281696919691969
170,0.6394269888491533,0.861655525904153,0.789886531580585,0.7313239136413642
171,0.6392905219193193,0.8539616983912566,0.7898111776602365,0.7299315869086909
172,0.6391186941908841,0.859006314846811,0.7901150241132545,0.7282814218921893
173,0.6391964229130938,0.8533265785743432,0.7899169162258868,0.731186399889989
174,0.6390556287305579,0.848720495948697,0.7897261006533914,0.7319169416941694
175,0.6389900625827672,0.8512623949740717,0.7897941622588674,0.7322005638063807
