epoch,train_loss,val_loss,val_acc,train_acc
0,2.87876033782959,2.80722451210022,0.0653948113322258,
1,2.490949869155884,2.2538743019104004,0.1570478230714798,
2,2.036893606185913,1.9666574001312256,0.2149600088596344,
3,1.703446626663208,1.763664960861206,0.2662833034992218,
4,1.478620529174805,1.612812042236328,0.3101859092712402,
5,1.3273229598999023,1.492292404174805,0.346711665391922,
6,1.2209724187850952,1.3999395370483398,0.3780816495418548,
7,1.1436156034469604,1.323564529418945,0.4045475423336029,
8,1.082829475402832,1.2660211324691772,0.4274640679359436,
9,1.034361481666565,1.2137871980667114,0.4474548399448395,
10,0.9944118857383728,1.1766682863235474,0.4647771716117859,
11,0.9623833298683168,1.1389955282211304,0.480282723903656,
12,0.9342451095581056,1.101595759391785,0.4940474033355713,
13,0.9103641510009766,1.0842849016189575,0.5062100291252136,
14,0.8902392983436584,1.074157953262329,0.5169410109519958,
15,0.87394779920578,1.0500037670135498,0.5265617370605469,
16,0.8583138585090637,1.015972375869751,0.5356035232543945,
17,0.8448279500007629,1.0028613805770874,0.543856680393219,
18,0.8325532674789429,0.987472414970398,0.5514875054359436,
19,0.8217020034790039,0.994589865207672,0.558270275592804,
20,0.8113065958023071,0.9634663462638856,0.5647827982902527,
21,0.803049623966217,0.9534315466880798,0.5708411931991577,
22,0.7954745888710022,0.9424513578414916,0.5764269828796387,
23,0.7893859148025513,0.9492753744125366,0.5815596580505371,
24,0.7834450006484985,0.93087500333786,0.5864735841751099,
25,0.7777217626571655,0.9393730759620668,0.5909568071365356,
26,0.7722481489181519,0.935304582118988,0.5951328277587891,
27,0.7671163082122803,0.9294454455375672,0.5991550087928772,
28,0.7631309032440186,0.9369826316833496,0.6027970314025879,
29,0.7597922682762146,0.9076584577560424,0.6064609885215759,
30,0.756356954574585,0.9115017652511596,0.6098531484603882,
31,0.7511510848999023,0.9130204319953918,0.6130374073982239,
32,0.74755859375,0.910470187664032,0.6159895062446594,
33,0.7452614307403564,0.9072497487068176,0.6188485026359558,
34,0.7419629096984863,0.8996014595031738,0.6215760707855225,
35,0.7391021847724915,0.8935142159461975,0.6242218017578125,
36,0.7368790507316589,0.8896657228469849,0.6268107891082764,
37,0.7347625494003296,0.888249933719635,0.6292121410369873,
38,0.7325603365898132,0.8843506574630737,0.6315897703170776,
39,0.7309114336967468,0.8870839476585388,0.6338217854499817,
40,0.7283093333244324,0.8918460011482239,0.6358999609947205,
41,0.7270236015319824,0.8733707070350647,0.6379633545875549,
42,0.7240671515464783,0.8793827891349792,0.639922559261322,
43,0.722999095916748,0.8748462796211243,0.6418314576148987,
44,0.7198423743247986,0.8779449462890625,0.6436236500740051,
45,0.7180033326148987,0.8693839907646179,0.6454113125801086,
46,0.7169132232666016,0.8677377104759216,0.6471249461174011,
47,0.7148909568786621,0.8758803606033325,0.6487337946891785,
48,0.7140774726867676,0.8693240880966187,0.6502774357795715,
49,0.7114796042442322,0.8719086050987244,0.6517544984817505,
50,0.7091267704963684,0.8729520440101624,0.6532004475593567,
51,0.7090359926223755,0.8553021550178528,0.6546682715415955,
52,0.7063743472099304,0.8618955612182617,0.6560331583023071,
53,0.705666720867157,0.8670110702514648,0.6573438048362732,
54,0.7032209038734436,0.8527234196662903,0.6586706638336182,
55,0.7036858201026917,0.8640278577804565,0.6599200367927551,
56,0.7020930051803589,0.8638079762458801,0.6611341834068298,
57,0.700110137462616,0.8554447293281555,0.6623473763465881,
58,0.6993546485900879,0.8475250005722046,0.6635541319847107,
59,0.6972184181213379,0.841930091381073,0.6647273302078247,
60,0.6972724199295044,0.8539393544197083,0.6658074855804443,
61,0.69681316614151,0.8440129160881042,0.6669111847877502,
62,0.6950738430023193,0.8419257402420044,0.6679854989051819,
63,0.694719135761261,0.8453503251075745,0.6690269112586975,
64,0.6932452917098999,0.838540256023407,0.6700568199157715,
65,0.6922855377197266,0.8429794311523438,0.6710466742515564,
66,0.6917282938957214,0.8494686484336853,0.6719922423362732,
67,0.6898866891860962,0.844030499458313,0.672904372215271,
68,0.6883108019828796,0.8390750288963318,0.6738019585609436,
69,0.6885623931884766,0.8334087133407593,0.674715518951416,
70,0.686553955078125,0.8348113298416138,0.6755955815315247,
71,0.6860697269439697,0.8383630514144897,0.6764588356018066,
72,0.6858351826667786,0.8306261301040649,0.6773064136505127,
73,0.6860150694847107,0.8368684649467468,0.6780997514724731,
74,0.6839796900749207,0.833361804485321,0.6789142489433289,
75,0.6826474070549011,0.8348950147628784,0.6796841621398926,
76,0.6824958920478821,0.8196815848350525,0.6804619431495667,
77,0.6813920736312866,0.8365802764892578,0.6811750531196594,
78,0.6801994442939758,0.8372945785522461,0.6819159984588623,
79,0.6797490119934082,0.8352023959159851,0.6826228499412537,
80,0.6803924441337585,0.8232340216636658,0.6833481192588806,
81,0.6797527074813843,0.829926073551178,0.68404620885849,
82,0.6794582605361938,0.8312835693359375,0.6847380995750427,
83,0.6784282922744751,0.8331103324890137,0.6853854656219482,
84,0.6769688725471497,0.8270030617713928,0.6860334277153015,
85,0.6763781309127808,0.8243897557258606,0.6866556406021118,
86,0.6763354539871216,0.8258995413780212,0.6872859001159668,
87,0.675870954990387,0.8274579048156738,0.6878952383995056,
88,0.6749929785728455,0.8238580822944641,0.6884908676147461,
89,0.6730182766914368,0.8337629437446594,0.6890692114830017,
90,0.6744593977928162,0.8262819647789001,0.6896355748176575,
91,0.6729661226272583,0.8247002363204956,0.6902136206626892,
92,0.6736031770706177,0.8240174651145935,0.6907659769058228,
93,0.6711590886116028,0.8176149725914001,0.6913124918937683,
94,0.6717090010643005,0.8331150412559509,0.6918339729309082,
95,0.6708978414535522,0.8285903334617615,0.6923455595970154,
96,0.6695155501365662,0.8264920115470886,0.6928702592849731,
97,0.669302761554718,0.824670672416687,0.6933565139770508,
98,0.6695529222488403,0.8188557624816895,0.6938396692276001,
99,0.6679550409317017,0.8231824040412903,0.6943169236183167,
100,0.6685972213745117,0.8168158531188965,0.6947986483573914,
101,0.6693881750106812,0.8159729242324829,0.6952709555625916,
102,0.6679000854492188,0.8168907761573792,0.6957284212112427,
103,0.6678434014320374,0.8099430203437805,0.6961985230445862,
104,0.6663182973861694,0.8147262930870056,0.6966685652732849,
105,0.6664527058601379,0.8207612037658691,0.6970993280410767,
106,0.6656917929649353,0.8117091059684753,0.6975404024124146,
107,0.6651633977890015,0.823611855506897,0.6979588866233826,
108,0.6646495461463928,0.8168584704399109,0.6983789801597595,
109,0.6652564406394958,0.8197469711303711,0.6987876296043396,
110,0.66468745470047,0.8113722801208496,0.6992056369781494,
111,0.6633526086807251,0.8090519309043884,0.699614942073822,
112,0.6630944609642029,0.8135133385658264,0.7000148892402649,
113,0.6630743145942688,0.8155023455619812,0.7004055976867676,
114,0.6620323061943054,0.8058971166610718,0.7007980942726135,
115,0.6630908250808716,0.8127776384353638,0.701178252696991,
116,0.663862407207489,0.8156901001930237,0.7015489935874939,
117,0.6627591252326965,0.8132914900779724,0.7019210457801819,
118,0.6617459654808044,0.8227125406265259,0.7022686004638672,
119,0.6613741517066956,0.8169570565223694,0.7026228308677673,
120,0.6616076231002808,0.8138449788093567,0.7029803991317749,
121,0.6605702042579651,0.818000316619873,0.7033292651176453,
122,0.6598339676856995,0.8094552159309387,0.7036674618721008,
123,0.661025881767273,0.8143253922462463,0.7039977312088013,
124,0.6599644422531128,0.8138546943664551,0.7043267488479614,
125,0.6603784561157227,0.8172351717948914,0.7046494483947754,
126,0.6601617336273193,0.8163177371025085,0.704962968826294,
127,0.659265398979187,0.812197744846344,0.7052798271179199,
128,0.6597247123718262,0.8073383569717407,0.7055975794792175,
129,0.6585546731948853,0.8085903525352478,0.705910861492157,
130,0.6584360599517822,0.8141192197799683,0.7062097191810608,
131,0.6590935587882996,0.8051314949989319,0.70651775598526,
132,0.6569996476173401,0.8121514916419983,0.7068197131156921,
133,0.6567142605781555,0.8087535500526428,0.707116961479187,
134,0.6573617458343506,0.8124251365661621,0.7074064612388611,
135,0.6569936871528625,0.8109015822410583,0.7076914310455322,
136,0.6565741300582886,0.8103632926940918,0.7079747915267944,
137,0.6558038592338562,0.8116369843482971,0.7082521319389343,
138,0.6568014621734619,0.813204288482666,0.7085237503051758,
139,0.6561076641082764,0.8167386054992676,0.7087860107421875,
140,0.6566693186759949,0.8082846403121948,0.7090560793876648,
141,0.656004011631012,0.8099983334541321,0.7093216180801392,
142,0.6552844047546387,0.8107087016105652,0.7095843553543091,
143,0.6548607349395752,0.809473991394043,0.7098385095596313,
144,0.6545974612236023,0.8109607696533203,0.7100896835327148,
145,0.656204104423523,0.8067317008972168,0.7103496789932251,
146,0.6544532179832458,0.8080095052719116,0.7106003165245056,
