epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch
0,4e-05,2.23818021741949,0.3133835854853765,2.0214308858311214,0.2985681380638064,0.2985681380638064,0
1,6e-05,1.6823770425745472,0.5028124027691351,1.7260111494295143,0.43357226347634764,0.43357226347634764,1
2,8e-05,1.3731547318116137,0.5934716766490354,1.5341101859924686,0.5169915429042904,0.5169915429042904,2
3,0.0001,1.195944767600643,0.6379402127411326,1.3984598865603457,0.5679919554455446,0.5679919554455446,3
4,0.00012,1.0848287268313994,0.6660703173615432,1.3027092213153315,0.5993021177117712,0.5993021177117712,4
5,0.00014,1.0089110596697748,0.685512844197262,1.2300559666552822,0.6227396177117712,0.6227396177117712,5
6,0.00016,0.953667519918939,0.7002493971686372,1.1802934081640968,0.6364222359735974,0.6364222359735974,6
7,0.00018,0.9119388864659046,0.7114212235532047,1.1405195698092874,0.6494946369636964,0.6494946369636964,7
8,0.0002,0.8790670530574991,0.7206144018357187,1.1015812422838411,0.6578915704070407,0.6578915704070407,8
9,0.0002,0.8524472821775103,0.7275542548226509,1.084125037043795,0.6625154702970297,0.6625154702970297,9
10,0.0001999863304992469,0.8311916679867173,0.7337442147635346,1.0581749766835546,0.6697263476347635,0.6697263476347635,10
11,0.00019994532573409262,0.8146144520739406,0.7383942808805227,1.0289139656475013,0.6786733360836084,0.6786733360836084,11
12,0.00019987699691483048,0.8009648116464265,0.7420039767423771,1.008394763545759,0.685746699669967,0.685746699669967,12
13,0.00019978136272187747,0.7895796784126172,0.7454593186060983,1.0100903227777764,0.6840277777777778,0.685746699669967,12
14,0.000199658449300667,0.7799172899555403,0.748147752022402,0.9870633456048661,0.688935299779978,0.688935299779978,14
15,0.00019950829025450114,0.7715426098506645,0.7503561080429372,0.98495925148197,0.6885743261826183,0.688935299779978,14
16,0.00019933092663536382,0.7641253069312066,0.7524696639701307,0.9741128082781604,0.6924247112211221,0.6924247112211221,16
17,0.00019912640693269752,0.7576677366006278,0.7545431121655258,0.9749080257447246,0.6934646589658966,0.6934646589658966,17
18,0.00019889478706014687,0.7519263082879927,0.7559954982109521,0.9654423734798159,0.6960688256325632,0.6960688256325632,18
19,0.00019863613034027224,0.7465884128044167,0.7575001458462974,0.956097837394089,0.6974439631463146,0.6974439631463146,19
20,0.00019835050748723824,0.7418705544712088,0.7589452395768512,0.9610468889161436,0.6974181793179318,0.6974439631463146,19
21,0.00019803799658748094,0.7375039341810259,0.7604583949128811,0.9477967604486593,0.6992488311331133,0.6992488311331133,21
22,0.00019769868307835994,0.733456273032926,0.7614489343497199,0.9415140725401762,0.7021624037403741,0.7021624037403741,22
23,0.0001973326597248006,0.7299561726431262,0.7623471044648413,0.9492096713404975,0.7012427805280528,0.7021624037403741,22
24,0.00019694002659393305,0.7263638891265788,0.763335213130056,0.9381710918429661,0.7019217546754676,0.7021624037403741,22
25,0.00019652089102773488,0.7233613414206561,0.7643500602831362,0.9398961480301206,0.7038469471947195,0.7038469471947195,25
26,0.00019607536761368484,0.7203183879968018,0.7654025843963908,0.9352588338820454,0.7058237073707371,0.7058237073707371,26
27,0.00019560357815343577,0.7174832426618921,0.7660467388767891,0.9301143412214957,0.7060901402640264,0.7060901402640264,27
28,0.00019510565162951537,0.714872287086767,0.7667358626322339,0.9248307575487068,0.7081442519251925,0.7081442519251925,28
29,0.00019458172417006347,0.7124064885909763,0.767795679060361,0.9251459239274099,0.7077746837183718,0.7081442519251925,28
30,0.00019403193901161613,0.7100768871535851,0.7683960796515246,0.9296477129488233,0.7064081408140814,0.7081442519251925,28
31,0.0001934564464599461,0.7079895039708554,0.7689721725264468,0.9113828790332094,0.7103616611661167,0.7103616611661167,31
32,0.00019285540384897073,0.7057269172929576,0.7696515731953951,0.9177023736294871,0.7115906903190319,0.7115906903190319,32
33,0.00019222897549773848,0.7038456515710994,0.7701924198817672,0.9222696848762836,0.7090982535753575,0.7115906903190319,32
34,0.00019157733266550575,0.7019573793918654,0.7706797895924082,0.910774503243376,0.7119000962596259,0.7119000962596259,34
35,0.00019090065350491626,0.700249235750209,0.7715050365588052,0.9216493202252488,0.7071300880088008,0.7119000962596259,34
36,0.00019019912301329592,0.6984641808267699,0.7718271137990044,0.9211218439706481,0.7102843096809681,0.7119000962596259,34
37,0.00018947293298207635,0.6968454147023152,0.772207529558183,0.9172067399596748,0.7112812843784379,0.7119000962596259,34
38,0.0001887222819443612,0.6953074614602583,0.7729063764001245,0.9017925316547797,0.714770695819582,0.714770695819582,38
39,0.0001879473751206489,0.6938702989307041,0.7732126536247667,0.9043883136068896,0.7136619911991199,0.714770695819582,38
40,0.00018714842436272773,0.6923131982806905,0.7736866540914747,0.9105684242167227,0.7132580445544554,0.714770695819582,38
41,0.00018632564809575742,0.6909617515328366,0.7741254083696328,0.9068103719531375,0.7156731298129813,0.7156731298129813,41
42,0.0001854792712585539,0.6896005638578921,0.7746480242688238,0.897619164947367,0.7177358360836084,0.7177358360836084,42
43,0.00018460952524209355,0.6884156369836566,0.7748497783136279,0.8992804348534352,0.7152949669966997,0.7177358360836084,42
44,0.00018371664782625287,0.6871634669458191,0.7752338402302427,0.9092258904764492,0.7136963696369637,0.7177358360836084,42
45,0.00018280088311480201,0.6860212642136166,0.7755923790448039,0.9019657337363928,0.7149082095709571,0.7177358360836084,42
46,0.00018186248146866927,0.6849084321430328,0.7760189794648413,0.8988916329687053,0.7164896177117712,0.7177358360836084,42
47,0.00018090169943749476,0.6838426273582734,0.7761526719041693,0.8933234658702897,0.7185351347634763,0.7185351347634763,47
48,0.0001799187996894925,0.6828409794256712,0.7766947339763535,0.8972882974659255,0.7187070269526953,0.7187070269526953,48
49,0.00017891405093963938,0.6819182225243973,0.7769365957529558,0.8964479963312579,0.7159653465346535,0.7187070269526953,48
50,0.00017788772787621126,0.6809047291422751,0.7771456421126323,0.8955399901887896,0.7190422167216721,0.7190422167216721,50
51,0.00017684011108568592,0.6799985346544879,0.7774810885967641,0.8886524433284441,0.7206751925192519,0.7206751925192519,51
52,0.0001757714869760335,0.6790858433716922,0.7776719041692595,0.8976731921973402,0.7174436193619362,0.7206751925192519,51
53,0.0001746821476984154,0.6781938515172363,0.7780401660703173,0.9082768173238757,0.7151918316831684,0.7206751925192519,51
54,0.00017357239106731317,0.6773737704227188,0.7782394893434972,0.9033483365843661,0.7156215621562156,0.7206751925192519,51
55,0.00017244252047910892,0.6766281300401124,0.7783257817361543,0.8940873188350854,0.7184062156215621,0.7206751925192519,51
56,0.00017129284482913972,0.6758200445750817,0.7787341513690106,0.890766272778296,0.7186554592959296,0.7206751925192519,51
57,0.00017012367842724887,0.6750138450944801,0.7788107206751711,0.892797746346204,0.7176412953795379,0.7206751925192519,51
58,0.0001689353409118566,0.674154665578428,0.7792215210796515,0.893584702635231,0.7204517326732673,0.7206751925192519,51
59,0.00016772815716257412,0.6735219074170932,0.779398967408214,0.8860361030851917,0.7219901677667767,0.7219901677667767,59
